,Player,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G
233,D.J. Moore,CHI,17,4,21,1,16,5.3,1.2
234,Amon-Ra St. Brown,DET,16,4,24,0,11,6.0,1.5
235,Christian Watson,GNB,9,4,11,0,13,2.8,1.2
236,Garrett Wilson,NYJ,17,4,0,0,6,0.0,0.0
237,Matt Barkley,JAX,1,3,-3,0,-1,-1.0,-3.0
238,Jacoby Brissett,WAS,3,3,19,0,10,6.3,6.3
239,DeAndre Carter,LVR,17,3,18,0,15,6.0,1.1
240,Ja'Marr Chase,CIN,16,3,-6,0,2,-2.0,-0.4
241,Sean Clifford,GNB,2,3,-2,0,0,-0.7,-1.0
242,Andy Dalton,CAR,3,3,12,0,10,4.0,4.0
243,Gerald Everett,LAC,15,3,10,0,6,3.3,0.7
244,Derrick Gore,WAS,6,3,26,0,23,8.7,4.3
245,Brian Hoyer,LVR,3,3,-3,0,-1,-1.0,-1.0
246,Quentin Johnston,LAC,17,3,9,0,6,3.0,0.5
247,Cole Kmet,CHI,17,3,2,0,1,0.7,0.1
248,Zonovan Knight,DET,2,3,13,0,8,4.3,6.5
249,Ray-Ray McCloud,SFO,12,3,30,0,15,10.0,2.5
250,Isaiah McKenzie,IND,13,3,14,0,7,4.7,1.1
251,Bo Melton,GNB,5,3,21,0,12,7.0,4.2
252,Ty Montgomery,NWE,13,3,9,0,7,3.0,0.7
253,Skyy Moore,KAN,14,3,23,0,11,7.7,1.6
254,Devine Ozigbo,DET,3,3,5,0,4,1.7,1.7
255,Trey Palmer,TAM,17,3,22,0,13,7.3,1.3
256,George Pickens,PIT,17,3,18,0,16,6.0,1.1
257,Brett Rypien,LAR,2,3,19,0,8,6.3,9.5
258,Tyquan Thornton,NWE,9,3,51,0,39,17.0,5.7
259,Jaylen Waddle,MIA,14,3,12,0,12,4.0,0.9
260,Jonathan Ward,TEN,7,3,11,0,8,3.7,1.6
261,Jameson Williams,DET,12,3,29,1,19,9.7,2.4
262,Keenan Allen,LAC,13,2,6,0,4,3.0,0.5
263,Nick Bawden,NYJ,16,2,4,1,3,2.0,0.3
264,Tyler Boyd,CIN,17,2,11,0,6,5.5,0.6
